;group;user;task_id;cum_this_puzzle_attempt;timestamp;percentage_tutorial;percentage_intermediate;percentage_advanced;attempts_per_puzzle;user_elo;puzzle_elo;puzzle_difficulty;avg_complete_time;completed;active_time;n_events;n_events_percentile1;n_events_percentile2;n_events_percentile3
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~1. One Box~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;1. One Box;1;2019-10-23 13:10:05.094066-04:00;0.0;0.0;0.0;0.0;0.0;0.0;2e-06;1.09;1.0;;107.0;8.0;9.0;24.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~2. Separated Boxes~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;2. Separated Boxes;1;2019-10-23 13:12:03.911763-04:00;11.11;0.0;0.0;1.0;0.0;0.14;0.111127;1.69;1.0;;14.0;4.0;10.0;14.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~3. Rotate a Pyramid~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;3. Rotate a Pyramid;1;2019-10-23 13:13:21.359373-04:00;22.22;0.0;0.0;1.0;0.0;0.29;0.083447;1.62;1.0;;14.0;4.0;7.0;14.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~4. Match Silhouettes~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;4. Match Silhouettes;1;2019-10-23 13:14:16.791967-04:00;33.33;0.0;0.0;1.0;0.0;0.51;0.061887;2.13;1.0;;48.0;12.0;24.0;26.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~5. Removing Objects~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;5. Removing Objects;1;2019-10-23 13:16:40.642590-04:00;44.44;0.0;0.0;1.0;0.0;0.59;0.106021;2.89;1.0;;10.0;10.0;10.0;10.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~6. Stretch a Ramp~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;6. Stretch a Ramp;1;2019-10-23 13:17:17.630314-04:00;55.56;0.0;0.0;1.0;0.0;0.53;0.107035;2.43;1.0;;13.0;11.0;13.0;13.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~7. Max 2 Boxes~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;7. Max 2 Boxes;1;2019-10-23 13:17:57.747873-04:00;66.67;0.0;0.0;1.0;0.0;0.72;0.078039;1.63;1.0;;24.0;9.0;19.0;24.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~8. Combine 2 Ramps~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;8. Combine 2 Ramps;1;2019-10-23 13:19:14.516245-04:00;77.78;0.0;0.0;1.0;0.0;0.71;0.068608;2.02;1.0;;24.0;6.0;21.0;24.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~9. Scaling Round Objects~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;9. Scaling Round Objects;1;2019-10-23 13:20:05.965043-04:00;88.89;0.0;0.0;1.0;0.0;0.71;0.128647;2.57;1.0;;24.0;20.0;24.0;24.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~Square Cross-Sections~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;Square Cross-Sections;1;2019-10-23 13:20:52.059524-04:00;100.0;0.0;0.0;1.0;0.0;1.24;0.199714;3.2;1.0;;43.0;20.0;43.0;43.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~Bird Fez~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;Bird Fez;1;2019-10-23 13:23:42.745469-04:00;100.0;11.11;0.0;1.0;0.18;1.9;0.156674;3.63;1.0;;34.0;33.0;34.0;34.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~Pi Henge~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;Pi Henge;1;2019-10-23 13:24:58.113069-04:00;100.0;22.22;0.0;1.0;0.52;1.52;0.067346;2.22;1.0;;28.0;18.0;28.0;28.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~45-Degree Rotations~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;45-Degree Rotations;1;2019-10-23 13:26:22.574717-04:00;100.0;33.33;0.0;1.0;0.77;0.99;0.096715;2.74;1.0;;172.0;4.0;31.0;60.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~Pyramids are Strange~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;Pyramids are Strange;1;2019-10-23 13:32:09.806623-04:00;100.0;44.44;0.0;1.0;0.89;1.57;0.1796;4.0;1.0;;355.0;4.0;26.0;63.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~Boxes Obscure Spheres~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;Boxes Obscure Spheres;1;2019-10-23 13:44:55.377213-04:00;100.0;55.56;0.0;1.0;1.07;2.28;0.266198;4.97;1.0;;215.0;34.0;78.0;106.0
