;param_algorithm;param_base_estimator;param_learning_rate;param_n_estimators;param_random_state;mean_test_score;std_test_score;mean_train_score;std_train_score
25;SAMME.R;DecisionTreeClassifier(max_depth=1);1.0;100;42;0.7620729446604557;0.05773321361976752;0.8199015429744565;0.006852221629718392
26;SAMME.R;DecisionTreeClassifier(max_depth=1);1.0;200;42;0.7611820262790847;0.05365195315433378;0.8272680456446336;0.006366193296991997
23;SAMME.R;DecisionTreeClassifier(max_depth=1);0.5;200;42;0.7582165609354419;0.0706517876021541;0.817564425870733;0.006960415290911613
24;SAMME.R;DecisionTreeClassifier(max_depth=1);1.0;50;42;0.7577083830717377;0.06359398274246358;0.8090608947111656;0.004596587043040927
21;SAMME.R;DecisionTreeClassifier(max_depth=1);0.5;50;42;0.7553223823728656;0.06802078287907826;0.8018795612199549;0.007892560110660748
8;SAMME;DecisionTreeClassifier(max_depth=1);1.0;200;42;0.7549071691453426;0.06281646409658576;0.798345983991422;0.00704508716488719
22;SAMME.R;DecisionTreeClassifier(max_depth=1);0.5;100;42;0.7540352461947223;0.06657628385931873;0.8100524789445925;0.007866320567701942
7;SAMME;DecisionTreeClassifier(max_depth=1);1.0;100;42;0.7501176542935722;0.06298792837669076;0.7899956805754453;0.008200320236514975
20;SAMME.R;DecisionTreeClassifier(max_depth=1);0.1;200;42;0.7426707727780005;0.0672966438066038;0.7928359673460765;0.012367794133073474
5;SAMME;DecisionTreeClassifier(max_depth=1);0.5;200;42;0.741096942288088;0.06658747051160513;0.784529363192945;0.008881597523379027
6;SAMME;DecisionTreeClassifier(max_depth=1);1.0;50;42;0.7378449881580077;0.06486316403714315;0.7788051309991663;0.005820751732842666
4;SAMME;DecisionTreeClassifier(max_depth=1);0.5;100;42;0.7261173946627884;0.06109801104423074;0.7696540031257247;0.0165643415650949
19;SAMME.R;DecisionTreeClassifier(max_depth=1);0.1;100;42;0.7190438469303719;0.0749111623168011;0.7751646006473252;0.013972042086991023
3;SAMME;DecisionTreeClassifier(max_depth=1);0.5;50;42;0.7168291008310931;0.061141680568238224;0.7559974505613782;0.010279067330661746
35;SAMME.R;LogisticRegression();1.0;200;42;0.7132316557619884;0.052020323167892034;0.7537967591059234;0.009639902812368787
14;SAMME;LogisticRegression();0.5;200;42;0.7077535388020176;0.041948714423785026;0.738974504939883;0.013266643615636587
13;SAMME;LogisticRegression();0.5;100;42;0.7077535388020176;0.041948714423785026;0.738974504939883;0.013266643615636587
12;SAMME;LogisticRegression();0.5;50;42;0.7030861755139647;0.04934778353280497;0.7370924067334976;0.00954654888426186
11;SAMME;LogisticRegression();0.1;200;42;0.701462862399101;0.056240325209141906;0.7440077170655188;0.017347242196932084
10;SAMME;LogisticRegression();0.1;100;42;0.6991717869366283;0.05878956981636512;0.7411170087250051;0.015013888688693272
18;SAMME.R;DecisionTreeClassifier(max_depth=1);0.1;50;42;0.6987289346737181;0.07186027977184245;0.7539311266159758;0.0205067196048935
32;SAMME.R;LogisticRegression();0.5;200;42;0.695402790714002;0.05482993673407125;0.7381716772228201;0.007631780598340251
34;SAMME.R;LogisticRegression();1.0;100;42;0.695402790714002;0.05482993673407125;0.7380390512281251;0.007612573232868181
15;SAMME;LogisticRegression();1.0;50;42;0.6944321669879167;0.04684059107342983;0.7238062384405978;0.012605989441000972
17;SAMME;LogisticRegression();1.0;200;42;0.6929451575904595;0.04561963627361954;0.724021263864637;0.012975004519151607
16;SAMME;LogisticRegression();1.0;100;42;0.6929451575904595;0.04561963627361954;0.724021263864637;0.012975004519151607
31;SAMME.R;LogisticRegression();0.5;100;42;0.6808525917232634;0.054319020930412854;0.7267378573889545;0.010512137188861273
33;SAMME.R;LogisticRegression();1.0;50;42;0.6808525917232634;0.054319020930412854;0.7266687033543913;0.010439304094125683
2;SAMME;DecisionTreeClassifier(max_depth=1);0.1;200;42;0.6802152536064161;0.06564187153751659;0.7259358033710563;0.019030088102748935
1;SAMME;DecisionTreeClassifier(max_depth=1);0.1;100;42;0.670805733759469;0.06563149144999758;0.7098724928143592;0.021396478192207056
30;SAMME.R;LogisticRegression();0.5;50;42;0.6675946974832458;0.05441372054753412;0.7133679594950622;0.011227842251509988
29;SAMME.R;LogisticRegression();0.1;200;42;0.6650594548541874;0.05671363824625188;0.708402132982008;0.011101611662963543
0;SAMME;DecisionTreeClassifier(max_depth=1);0.1;50;42;0.6615387170509044;0.05466313356413792;0.7025794046418923;0.024071846565736528
9;SAMME;LogisticRegression();0.1;50;42;0.6588895429185568;0.06511215611678296;0.7008637307298847;0.009655121793340429
28;SAMME.R;LogisticRegression();0.1;100;42;0.649229981055088;0.06856280009585976;0.6903865392651155;0.01201276743894363
27;SAMME.R;LogisticRegression();0.1;50;42;0.6289872607487103;0.07244788040074793;0.6759289475508861;0.014443685556600526
