;param_algorithm;param_leaf_size;param_metric;param_n_neighbors;param_p;param_weights;mean_test_score;std_test_score;mean_train_score;std_train_score
108;ball_tree;40;manhattan;3;1;uniform;0.6744955663961238;0.053852658600021475;0.8255904856041105;0.003894625945249828
180;kd_tree;40;manhattan;3;1;uniform;0.6744955663961238;0.053852658600021475;0.8256352749438347;0.003939815721780491
62;auto;50;manhattan;3;2;uniform;0.6744955663961238;0.053852658600021475;0.8254848460508974;0.004025822542934216
156;kd_tree;30;manhattan;3;1;uniform;0.6744955663961238;0.053852658600021475;0.8256352749438347;0.003939815721780491
84;ball_tree;30;manhattan;3;1;uniform;0.6744955663961238;0.053852658600021475;0.8255904856041105;0.003894625945249828
158;kd_tree;30;manhattan;3;2;uniform;0.6744955663961238;0.053852658600021475;0.8256352749438347;0.003939815721780491
132;ball_tree;50;manhattan;3;1;uniform;0.6744955663961238;0.053852658600021475;0.8256502942165508;0.003949495272010387
60;auto;50;manhattan;3;1;uniform;0.6744955663961238;0.053852658600021475;0.8254848460508974;0.004025822542934216
110;ball_tree;40;manhattan;3;2;uniform;0.6744955663961238;0.053852658600021475;0.8255904856041105;0.003894625945249828
14;auto;30;manhattan;3;2;uniform;0.6744955663961238;0.053852658600021475;0.8254848460508974;0.004025822542934216
134;ball_tree;50;manhattan;3;2;uniform;0.6744955663961238;0.053852658600021475;0.8256502942165508;0.003949495272010387
12;auto;30;manhattan;3;1;uniform;0.6744955663961238;0.053852658600021475;0.8254848460508974;0.004025822542934216
182;kd_tree;40;manhattan;3;2;uniform;0.6744955663961238;0.053852658600021475;0.8256352749438347;0.003939815721780491
86;ball_tree;30;manhattan;3;2;uniform;0.6744955663961238;0.053852658600021475;0.8255904856041105;0.003894625945249828
36;auto;40;manhattan;3;1;uniform;0.6744955663961238;0.053852658600021475;0.8254848460508974;0.004025822542934216
204;kd_tree;50;manhattan;3;1;uniform;0.6744955663961238;0.053852658600021475;0.8255575172786388;0.00405951683402962
206;kd_tree;50;manhattan;3;2;uniform;0.6744955663961238;0.053852658600021475;0.8255575172786388;0.00405951683402962
38;auto;40;manhattan;3;2;uniform;0.6744955663961238;0.053852658600021475;0.8254848460508974;0.004025822542934216
87;ball_tree;30;manhattan;3;2;distance;0.6739948002589176;0.05423614010866206;0.995950635832403;0.0003045478673218769
109;ball_tree;40;manhattan;3;1;distance;0.6739948002589176;0.05423614010866206;0.995950635832403;0.0003045478673218769
85;ball_tree;30;manhattan;3;1;distance;0.6739948002589176;0.05423614010866206;0.995950635832403;0.0003045478673218769
111;ball_tree;40;manhattan;3;2;distance;0.6739948002589176;0.05423614010866206;0.995950635832403;0.0003045478673218769
37;auto;40;manhattan;3;1;distance;0.6739948002589176;0.05423614010866206;0.995950635832403;0.0003045478673218769
133;ball_tree;50;manhattan;3;1;distance;0.6739948002589176;0.05423614010866206;0.995950635832403;0.0003045478673218769
157;kd_tree;30;manhattan;3;1;distance;0.6739948002589176;0.05423614010866206;0.995950635832403;0.0003045478673218769
135;ball_tree;50;manhattan;3;2;distance;0.6739948002589176;0.05423614010866206;0.995950635832403;0.0003045478673218769
63;auto;50;manhattan;3;2;distance;0.6739948002589176;0.05423614010866206;0.995950635832403;0.0003045478673218769
159;kd_tree;30;manhattan;3;2;distance;0.6739948002589176;0.05423614010866206;0.995950635832403;0.0003045478673218769
61;auto;50;manhattan;3;1;distance;0.6739948002589176;0.05423614010866206;0.995950635832403;0.0003045478673218769
15;auto;30;manhattan;3;2;distance;0.6739948002589176;0.05423614010866206;0.995950635832403;0.0003045478673218769
13;auto;30;manhattan;3;1;distance;0.6739948002589176;0.05423614010866206;0.995950635832403;0.0003045478673218769
181;kd_tree;40;manhattan;3;1;distance;0.6739948002589176;0.05423614010866206;0.995950635832403;0.0003045478673218769
183;kd_tree;40;manhattan;3;2;distance;0.6739948002589176;0.05423614010866206;0.995950635832403;0.0003045478673218769
205;kd_tree;50;manhattan;3;1;distance;0.6739948002589176;0.05423614010866206;0.995950635832403;0.0003045478673218769
207;kd_tree;50;manhattan;3;2;distance;0.6739948002589176;0.05423614010866206;0.995950635832403;0.0003045478673218769
39;auto;40;manhattan;3;2;distance;0.6739948002589176;0.05423614010866206;0.995950635832403;0.0003045478673218769
122;ball_tree;50;euclidean;3;2;uniform;0.6698123395124457;0.05767505140777372;0.8238309545766764;0.0031300130510607954
120;ball_tree;50;euclidean;3;1;uniform;0.6698123395124457;0.05767505140777372;0.8238309545766764;0.0031300130510607954
192;kd_tree;50;euclidean;3;1;uniform;0.6696271543272604;0.057847183268051924;0.8238309545766764;0.0031300130510607954
194;kd_tree;50;euclidean;3;2;uniform;0.6696271543272604;0.057847183268051924;0.8238309545766764;0.0031300130510607954
144;kd_tree;30;euclidean;3;1;uniform;0.6690763190738043;0.05847445158140995;0.8238909785862804;0.003130957795233866
146;kd_tree;30;euclidean;3;2;uniform;0.6690763190738043;0.05847445158140995;0.8238909785862804;0.003130957795233866
168;kd_tree;40;euclidean;3;1;uniform;0.6690763190738043;0.05847445158140995;0.8238909785862804;0.003130957795233866
170;kd_tree;40;euclidean;3;2;uniform;0.6690763190738043;0.05847445158140995;0.8238909785862804;0.003130957795233866
48;auto;50;euclidean;3;1;uniform;0.6688874113515261;0.05829339720458387;0.8238309545766764;0.0031300130510607954
50;auto;50;euclidean;3;2;uniform;0.6688874113515261;0.05829339720458387;0.8238309545766764;0.0031300130510607954
0;auto;30;euclidean;3;1;uniform;0.6688874113515261;0.05829339720458387;0.8238309545766764;0.0031300130510607954
24;auto;40;euclidean;3;1;uniform;0.6688874113515261;0.05829339720458387;0.8238309545766764;0.0031300130510607954
2;auto;30;euclidean;3;2;uniform;0.6688874113515261;0.05829339720458387;0.8238309545766764;0.0031300130510607954
26;auto;40;euclidean;3;2;uniform;0.6688874113515261;0.05829339720458387;0.8238309545766764;0.0031300130510607954
72;ball_tree;30;euclidean;3;1;uniform;0.6688459043272604;0.05862577883772431;0.8238909785862804;0.003130957795233866
74;ball_tree;30;euclidean;3;2;uniform;0.6688459043272604;0.05862577883772431;0.8238909785862804;0.003130957795233866
98;ball_tree;40;euclidean;3;2;uniform;0.6688459043272604;0.05862577883772431;0.8238909785862804;0.003130957795233866
96;ball_tree;40;euclidean;3;1;uniform;0.6688459043272604;0.05862577883772431;0.8238909785862804;0.003130957795233866
121;ball_tree;50;euclidean;3;1;distance;0.668153246768842;0.05448415451811144;0.995950635832403;0.0003045478673218769
123;ball_tree;50;euclidean;3;2;distance;0.668153246768842;0.05448415451811144;0.995950635832403;0.0003045478673218769
193;kd_tree;50;euclidean;3;1;distance;0.6679680615836568;0.05469344623894641;0.995950635832403;0.0003045478673218769
195;kd_tree;50;euclidean;3;2;distance;0.6679680615836568;0.05469344623894641;0.995950635832403;0.0003045478673218769
171;kd_tree;40;euclidean;3;2;distance;0.6674172263302006;0.055513561709013684;0.995950635832403;0.0003045478673218769
169;kd_tree;40;euclidean;3;1;distance;0.6674172263302006;0.055513561709013684;0.995950635832403;0.0003045478673218769
147;kd_tree;30;euclidean;3;2;distance;0.6674172263302006;0.055513561709013684;0.995950635832403;0.0003045478673218769
145;kd_tree;30;euclidean;3;1;distance;0.6674172263302006;0.055513561709013684;0.995950635832403;0.0003045478673218769
3;auto;30;euclidean;3;2;distance;0.6672283186079225;0.05526076416177216;0.995950635832403;0.0003045478673218769
1;auto;30;euclidean;3;1;distance;0.6672283186079225;0.05526076416177216;0.995950635832403;0.0003045478673218769
25;auto;40;euclidean;3;1;distance;0.6672283186079225;0.05526076416177216;0.995950635832403;0.0003045478673218769
27;auto;40;euclidean;3;2;distance;0.6672283186079225;0.05526076416177216;0.995950635832403;0.0003045478673218769
51;auto;50;euclidean;3;2;distance;0.6672283186079225;0.05526076416177216;0.995950635832403;0.0003045478673218769
49;auto;50;euclidean;3;1;distance;0.6672283186079225;0.05526076416177216;0.995950635832403;0.0003045478673218769
97;ball_tree;40;euclidean;3;1;distance;0.6671868115836569;0.05562882895703753;0.995950635832403;0.0003045478673218769
75;ball_tree;30;euclidean;3;2;distance;0.6671868115836569;0.05562882895703753;0.995950635832403;0.0003045478673218769
73;ball_tree;30;euclidean;3;1;distance;0.6671868115836569;0.05562882895703753;0.995950635832403;0.0003045478673218769
99;ball_tree;40;euclidean;3;2;distance;0.6671868115836569;0.05562882895703753;0.995950635832403;0.0003045478673218769
91;ball_tree;30;manhattan;5;2;distance;0.6663689804718265;0.05719613855897204;0.995950635832403;0.0003045478673218769
115;ball_tree;40;manhattan;5;2;distance;0.6663689804718265;0.05719613855897204;0.995950635832403;0.0003045478673218769
89;ball_tree;30;manhattan;5;1;distance;0.6663689804718265;0.05719613855897204;0.995950635832403;0.0003045478673218769
113;ball_tree;40;manhattan;5;1;distance;0.6663689804718265;0.05719613855897204;0.995950635832403;0.0003045478673218769
161;kd_tree;30;manhattan;5;1;distance;0.6662751777471405;0.05760056972837979;0.995950635832403;0.0003045478673218769
187;kd_tree;40;manhattan;5;2;distance;0.6662751777471405;0.05760056972837979;0.995950635832403;0.0003045478673218769
185;kd_tree;40;manhattan;5;1;distance;0.6662751777471405;0.05760056972837979;0.995950635832403;0.0003045478673218769
163;kd_tree;30;manhattan;5;2;distance;0.6662751777471405;0.05760056972837979;0.995950635832403;0.0003045478673218769
