;param_algorithm;param_n_neighbors;param_p;param_weights;mean_test_score;std_test_score;mean_train_score;std_train_score
45;kd_tree;9;1;distance;0.7237111749175359;0.050181413021193964;0.9995982856353184;0.0002011834480084334
29;ball_tree;9;1;distance;0.7237111749175359;0.050181413021193964;0.9995982856353184;0.0002011834480084334
13;auto;9;1;distance;0.7237111749175359;0.050181413021193964;0.9995982856353184;0.0002011834480084334
12;auto;9;1;uniform;0.7227580255840509;0.053250138309153226;0.79735389578048;0.005175028537512645
44;kd_tree;9;1;uniform;0.7227580255840509;0.053250138309153226;0.7975383308855266;0.005009791247308597
28;ball_tree;9;1;uniform;0.7227580255840509;0.053250138309153226;0.7976006750251774;0.005035637069709446
24;ball_tree;7;1;uniform;0.7205110464375553;0.050985660341112536;0.8078053561009861;0.006410140137354196
40;kd_tree;7;1;uniform;0.7205110464375553;0.050985660341112536;0.8078053561009861;0.006410140137354196
25;ball_tree;7;1;distance;0.7204653605411565;0.05203125018241247;0.9995982856353184;0.0002011834480084334
41;kd_tree;7;1;distance;0.7204653605411565;0.05203125018241247;0.9995982856353184;0.0002011834480084334
8;auto;7;1;uniform;0.7197418156683245;0.0499084795409211;0.8077076043903311;0.006374251850073222
9;auto;7;1;distance;0.7196961297719258;0.05072724052118458;0.9995982856353184;0.0002011834480084334
36;kd_tree;5;1;uniform;0.715806393735974;0.04088274034694057;0.8200160600953076;0.006503148618975543
20;ball_tree;5;1;uniform;0.715806393735974;0.04088274034694057;0.8200160600953076;0.006503148618975543
4;auto;5;1;uniform;0.715806393735974;0.04088274034694057;0.8200031230702812;0.0064515313398401004
37;kd_tree;5;1;distance;0.712000806731903;0.037198977523609705;0.9995982856353184;0.0002011834480084334
5;auto;5;1;distance;0.712000806731903;0.037198977523609705;0.9995982856353184;0.0002011834480084334
21;ball_tree;5;1;distance;0.712000806731903;0.037198977523609705;0.9995982856353184;0.0002011834480084334
32;kd_tree;3;1;uniform;0.711244285776508;0.04696509623832483;0.8501198713388909;0.004347843481987018
0;auto;3;1;uniform;0.711244285776508;0.04696509623832483;0.8504364708333879;0.004556125777011661
16;ball_tree;3;1;uniform;0.711244285776508;0.04696509623832483;0.8503512102857794;0.004486651827372044
27;ball_tree;7;2;distance;0.710705129332149;0.051347806066852755;0.9995982856353184;0.0002011834480084334
43;kd_tree;7;2;distance;0.710705129332149;0.051347806066852755;0.9995982856353184;0.0002011834480084334
11;auto;7;2;distance;0.7099358985629183;0.05009664771908319;0.9995982856353184;0.0002011834480084334
26;ball_tree;7;2;uniform;0.7095681189374874;0.05764509719591021;0.7950050011564423;0.007590944133060923
42;kd_tree;7;2;uniform;0.7095681189374874;0.05764509719591021;0.7950050011564423;0.007590944133060923
10;auto;7;2;uniform;0.7087988881682566;0.05636774240752317;0.7950635491658099;0.007596468256376826
31;ball_tree;9;2;distance;0.7082075162758535;0.057378534557837035;0.9995982856353184;0.0002011834480084334
15;auto;9;2;distance;0.7079342922321377;0.05707585499130133;0.9995982856353184;0.0002011834480084334
47;kd_tree;9;2;distance;0.7079342922321377;0.05707585499130133;0.9995982856353184;0.0002011834480084334
1;auto;3;1;distance;0.7078527118250181;0.04162716407982355;0.9995982856353184;0.0002011834480084334
17;ball_tree;3;1;distance;0.7078527118250181;0.04162716407982355;0.9995982856353184;0.0002011834480084334
33;kd_tree;3;1;distance;0.7078527118250181;0.04162716407982355;0.9995982856353184;0.0002011834480084334
30;ball_tree;9;2;uniform;0.7076390544793261;0.057996512968561634;0.785683981704391;0.006189615761717692
14;auto;9;2;uniform;0.7073658304356103;0.05770732106237036;0.785683981704391;0.006189615761717692
46;kd_tree;9;2;uniform;0.7073658304356103;0.05770732106237036;0.785683981704391;0.006189615761717692
2;auto;3;2;uniform;0.7025136033984407;0.043920127213728;0.8527883201414612;0.003581347759608948
34;kd_tree;3;2;uniform;0.7025136033984407;0.043920127213728;0.8526395321210043;0.0035098183304170002
18;ball_tree;3;2;uniform;0.7025136033984407;0.043920127213728;0.8526948418555176;0.0035514945176281306
39;kd_tree;5;2;distance;0.6997923084295763;0.04676397894293645;0.9995982856353184;0.0002011834480084334
7;auto;5;2;distance;0.6997923084295763;0.04676397894293645;0.9995982856353184;0.0002011834480084334
23;ball_tree;5;2;distance;0.6997923084295763;0.04676397894293645;0.9995982856353184;0.0002011834480084334
35;kd_tree;3;2;distance;0.6995729935900459;0.03970332036297553;0.9995982856353184;0.0002011834480084334
3;auto;3;2;distance;0.6995729935900459;0.03970332036297553;0.9995982856353184;0.0002011834480084334
19;ball_tree;3;2;distance;0.6995729935900459;0.03970332036297553;0.9995982856353184;0.0002011834480084334
38;kd_tree;5;2;uniform;0.69323923745322;0.058404921305193244;0.8154651342238459;0.005804125520696101
6;auto;5;2;uniform;0.69323923745322;0.058404921305193244;0.8155145413384706;0.005828785916262692
22;ball_tree;5;2;uniform;0.69323923745322;0.058404921305193244;0.8154651342238459;0.005804125520696101
