;param_activation;param_alpha;param_hidden_layer_sizes;param_learning_rate;param_solver;mean_test_score;std_test_score;mean_train_score;std_train_score
41;relu;0.05;(50, 100, 50);constant;adam;0.7298689599647246;0.0701322484330455;0.8337979896601118;0.03192331018881954
43;relu;0.05;(50, 100, 50);adaptive;adam;0.7298689599647246;0.0701322484330455;0.8337979896601118;0.03192331018881954
31;relu;0.0001;(50, 100, 50);adaptive;adam;0.729468924291337;0.06335305173044223;0.8527178936134842;0.01808400971670592
29;relu;0.0001;(50, 100, 50);constant;adam;0.729468924291337;0.06335305173044223;0.8527178936134842;0.01808400971670592
35;relu;0.0001;(100,);adaptive;adam;0.7293356213758679;0.058930981398650474;0.8167435541249082;0.020493272123935515
33;relu;0.0001;(100,);constant;adam;0.7293356213758679;0.058930981398650474;0.8167435541249082;0.020493272123935515
11;tanh;0.0001;(100,);adaptive;adam;0.7260701606584432;0.05588571665414412;0.8629169102602006;0.01010452381851101
9;tanh;0.0001;(100,);constant;adam;0.7260701606584432;0.05588571665414412;0.8629169102602006;0.01010452381851101
25;relu;0.0001;(50, 50, 50);constant;adam;0.7260131765097851;0.055295480769749224;0.8328548259575376;0.028449565908943108
27;relu;0.0001;(50, 50, 50);adaptive;adam;0.7260131765097851;0.055295480769749224;0.8328548259575376;0.028449565908943108
47;relu;0.05;(100,);adaptive;adam;0.7236043312746199;0.05816841240281522;0.8057988923431427;0.022248025596773417
45;relu;0.05;(100,);constant;adam;0.7236043312746199;0.05816841240281522;0.8057988923431427;0.022248025596773417
23;tanh;0.05;(100,);adaptive;adam;0.723573114013448;0.04778622251637758;0.83942975362025;0.015162919876364799
21;tanh;0.05;(100,);constant;adam;0.723573114013448;0.04778622251637758;0.83942975362025;0.015162919876364799
7;tanh;0.0001;(50, 100, 50);adaptive;adam;0.7219158346864681;0.0466596457632127;0.8773854403669608;0.017378503226294625
5;tanh;0.0001;(50, 100, 50);constant;adam;0.7219158346864681;0.0466596457632127;0.8773854403669608;0.017378503226294625
3;tanh;0.0001;(50, 50, 50);adaptive;adam;0.7210859602998386;0.04239975692748471;0.8708273635040961;0.019024583827192253
