;param_activation;param_alpha;param_early_stopping;param_hidden_layer_sizes;param_learning_rate;param_max_iter;param_solver;mean_test_score;std_test_score;mean_train_score;std_train_score
43;relu;0.0001;False;(100,);adaptive;200;adam;0.7884817227257436;0.04784466441681266;0.8786257215812409;0.009703542349332394
37;relu;0.0001;False;(100,);constant;200;adam;0.7884817227257436;0.04784466441681266;0.8786257215812409;0.009703542349332394
265;logistic;0.0001;False;(50, 50);constant;200;adam;0.7878656293536097;0.035318740076857695;0.8942654274304598;0.0030644875785059045
271;logistic;0.0001;False;(50, 50);adaptive;200;adam;0.7878656293536097;0.035318740076857695;0.8942654274304598;0.0030644875785059045
109;relu;0.001;False;(100,);constant;200;adam;0.785964099291174;0.05456582691033677;0.8841941850943608;0.011294550198983658
115;relu;0.001;False;(100,);adaptive;200;adam;0.785964099291174;0.05456582691033677;0.8841941850943608;0.011294550198983658
337;logistic;0.001;False;(50, 50);constant;200;adam;0.7855681111447471;0.03803057236886837;0.8925317158402523;0.003923919141968308
343;logistic;0.001;False;(50, 50);adaptive;200;adam;0.7855681111447471;0.03803057236886837;0.8925317158402523;0.003923919141968308
409;logistic;0.01;False;(50, 50);constant;200;adam;0.7855010787392114;0.038976975334815325;0.8879074646543186;0.004355612036760667
415;logistic;0.01;False;(50, 50);adaptive;200;adam;0.7855010787392114;0.038976975334815325;0.8879074646543186;0.004355612036760667
259;logistic;0.0001;False;(100,);adaptive;200;adam;0.7809588358809681;0.05162378894974711;0.8832642874250901;0.0028312007474300973
253;logistic;0.0001;False;(100,);constant;200;adam;0.7809588358809681;0.05162378894974711;0.8832642874250901;0.0028312007474300973
325;logistic;0.001;False;(100,);constant;200;adam;0.7802286632934325;0.04955012949396707;0.8830720612277101;0.0018896981990456558
331;logistic;0.001;False;(100,);adaptive;200;adam;0.7802286632934325;0.04955012949396707;0.8830720612277101;0.0018896981990456558
397;logistic;0.01;False;(100,);constant;200;adam;0.7794265933910113;0.048470342298510584;0.8780141638618053;0.0029276485785984033
403;logistic;0.01;False;(100,);adaptive;200;adam;0.7794265933910113;0.048470342298510584;0.8780141638618053;0.0029276485785984033
181;relu;0.01;False;(100,);constant;200;adam;0.7790544764340482;0.058080446588611376;0.881839153887468;0.011115333800878759
187;relu;0.01;False;(100,);adaptive;200;adam;0.7790544764340482;0.058080446588611376;0.881839153887468;0.011115333800878759
