;param_bootstrap;param_class_weight;param_criterion;param_max_depth;param_max_features;param_min_samples_leaf;param_min_samples_split;param_n_estimators;mean_test_score;std_test_score;mean_train_score;std_train_score
1723;False;balanced;entropy;;auto;4;5;200;0.7614803735920468;0.06928627025475335;0.9273395755186888;0.002575677982388297
1750;False;balanced;entropy;;sqrt;4;5;200;0.7614803735920468;0.06928627025475335;0.9273395755186888;0.002575677982388297
1747;False;balanced;entropy;;sqrt;4;2;200;0.7614803735920468;0.06928627025475335;0.9273395755186888;0.002575677982388297
1720;False;balanced;entropy;;auto;4;2;200;0.7614803735920468;0.06928627025475335;0.9273395755186888;0.002575677982388297
1754;False;balanced;entropy;;sqrt;4;10;300;0.7613235955739593;0.0697218187152825;0.9245579378748564;0.003079569474856135
1727;False;balanced;entropy;;auto;4;10;300;0.7613235955739593;0.0697218187152825;0.9245579378748564;0.003079569474856135
1748;False;balanced;entropy;;sqrt;4;2;300;0.7611266899812416;0.06953036862142495;0.9274476792529296;0.0027219220967835667
1724;False;balanced;entropy;;auto;4;5;300;0.7611266899812416;0.06953036862142495;0.9274476792529296;0.0027219220967835667
1721;False;balanced;entropy;;auto;4;2;300;0.7611266899812416;0.06953036862142495;0.9274476792529296;0.0027219220967835667
1751;False;balanced;entropy;;sqrt;4;5;300;0.7611266899812416;0.06953036862142495;0.9274476792529296;0.0027219220967835667
1749;False;balanced;entropy;;sqrt;4;5;100;0.7610373396035881;0.07456488711251655;0.9259142033793945;0.002739208777823751
1746;False;balanced;entropy;;sqrt;4;2;100;0.7610373396035881;0.07456488711251655;0.9259142033793945;0.002739208777823751
1722;False;balanced;entropy;;auto;4;5;100;0.7610373396035881;0.07456488711251655;0.9259142033793945;0.002739208777823751
1719;False;balanced;entropy;;auto;4;2;100;0.7610373396035881;0.07456488711251655;0.9259142033793945;0.002739208777823751
1483;False;balanced;gini;;auto;4;10;200;0.7608451553281911;0.06803548699663745;0.9219031227046619;0.0032412600305481726
1510;False;balanced;gini;;sqrt;4;10;200;0.7608451553281911;0.06803548699663745;0.9219031227046619;0.0032412600305481726
1530;False;balanced;gini;;log2;4;2;100;0.7602404062987967;0.06648098810595268;0.9163982913944908;0.003559254139691841
1533;False;balanced;gini;;log2;4;5;100;0.7602404062987967;0.06648098810595268;0.9163982913944908;0.003559254139691841
1473;False;balanced;gini;;auto;2;10;100;0.7594504346493147;0.06261599819647842;0.9504747710007193;0.002869151874388912
1500;False;balanced;gini;;sqrt;2;10;100;0.7594504346493147;0.06261599819647842;0.9504747710007193;0.002869151874388912
1478;False;balanced;gini;;auto;4;2;300;0.759200097329269;0.07052636266029993;0.9250166683088781;0.0035280080746255614
1505;False;balanced;gini;;sqrt;4;2;300;0.759200097329269;0.07052636266029993;0.9250166683088781;0.0035280080746255614
1508;False;balanced;gini;;sqrt;4;5;300;0.759200097329269;0.07052636266029993;0.9250166683088781;0.0035280080746255614
1481;False;balanced;gini;;auto;4;5;300;0.759200097329269;0.07052636266029993;0.9250166683088781;0.0035280080746255614
1535;False;balanced;gini;;log2;4;5;300;0.7590458902766463;0.068647533116571;0.9175021778195991;0.0032355262360781547
1532;False;balanced;gini;;log2;4;2;300;0.7590458902766463;0.068647533116571;0.9175021778195991;0.0032355262360781547
1509;False;balanced;gini;;sqrt;4;10;100;0.7590256761066637;0.0674023707764434;0.9218531968495638;0.0036573475253596248
1482;False;balanced;gini;;auto;4;10;100;0.7590256761066637;0.0674023707764434;0.9218531968495638;0.0036573475253596248
1511;False;balanced;gini;;sqrt;4;10;300;0.7590007150589003;0.0682538581548812;0.9227154355975763;0.003579897737210754
1484;False;balanced;gini;;auto;4;10;300;0.7590007150589003;0.0682538581548812;0.9227154355975763;0.003579897737210754
1778;False;balanced;entropy;;log2;4;5;300;0.7589242405455642;0.07228244116967084;0.9191471370554766;0.00446319312038809
1775;False;balanced;entropy;;log2;4;2;300;0.7589242405455642;0.07228244116967084;0.9191471370554766;0.00446319312038809
1710;False;balanced;entropy;;auto;2;2;100;0.7589158901627504;0.05387172897443002;0.9786959796867023;0.0017797101109708578
1737;False;balanced;entropy;;sqrt;2;2;100;0.7589158901627504;0.05387172897443002;0.9786959796867023;0.0017797101109708578
1538;False;balanced;gini;;log2;4;10;300;0.7588395131415442;0.06370616796391576;0.9145381213123237;0.0043995844475515355
807;True;balanced;entropy;;log2;4;10;100;0.7585528084046818;0.06721147530422343;0.8758201451679533;0.005490001194763873
1503;False;balanced;gini;;sqrt;4;2;100;0.7585102032984189;0.0738731823213846;0.9245920290846836;0.004169736089966336
1506;False;balanced;gini;;sqrt;4;5;100;0.7585102032984189;0.0738731823213846;0.9245920290846836;0.004169736089966336
1476;False;balanced;gini;;auto;4;2;100;0.7585102032984189;0.0738731823213846;0.9245920290846836;0.004169736089966336
1479;False;balanced;gini;;auto;4;5;100;0.7585102032984189;0.0738731823213846;0.9245920290846836;0.004169736089966336
1753;False;balanced;entropy;;sqrt;4;10;200;0.7584080699319682;0.07087880435155984;0.9244290328509115;0.0028953179554946453
1726;False;balanced;entropy;;auto;4;10;200;0.7584080699319682;0.07087880435155984;0.9244290328509115;0.0028953179554946453
1774;False;balanced;entropy;;log2;4;2;200;0.758128148209044;0.07199504612746192;0.9183465411561844;0.0043512382083356685
1777;False;balanced;entropy;;log2;4;5;200;0.758128148209044;0.07199504612746192;0.9183465411561844;0.0043512382083356685
1655;False;balanced;gini;10;sqrt;1;10;300;0.7580570208132413;0.07837582641493394;0.8728429255361106;0.005722705046128956
1628;False;balanced;gini;10;auto;1;10;300;0.7580570208132413;0.07837582641493394;0.8728429255361106;0.005722705046128956
1477;False;balanced;gini;;auto;4;2;200;0.7578854353017264;0.0707352553932997;0.9251641158125368;0.0026472272717820333
1480;False;balanced;gini;;auto;4;5;200;0.7578854353017264;0.0707352553932997;0.9251641158125368;0.0026472272717820333
1507;False;balanced;gini;;sqrt;4;5;200;0.7578854353017264;0.0707352553932997;0.9251641158125368;0.0026472272717820333
1504;False;balanced;gini;;sqrt;4;2;200;0.7578854353017264;0.0707352553932997;0.9251641158125368;0.0026472272717820333
1536;False;balanced;gini;;log2;4;10;100;0.7577210092431048;0.06577599928023267;0.9133863139263759;0.003788473365918938
1779;False;balanced;entropy;;log2;4;10;100;0.7574903986579506;0.07008606056095358;0.9151405002019519;0.002506323901502178
1770;False;balanced;entropy;;log2;2;10;100;0.7574309724873542;0.06568223709872784;0.946880152191903;0.0016634401419654986
555;True;balanced;gini;;log2;2;10;100;0.7573563110606634;0.06402791868603229;0.9032217492360208;0.0044691331661432885
1627;False;balanced;gini;10;auto;1;10;200;0.7573342299734037;0.07887390099711948;0.8731890438246825;0.005655352338562406
1654;False;balanced;gini;10;sqrt;1;10;200;0.7573342299734037;0.07887390099711948;0.8731890438246825;0.005655352338562406
1780;False;balanced;entropy;;log2;4;10;200;0.7571133973188615;0.07278332211639059;0.9159269687101192;0.003268311107415988
1645;False;balanced;gini;10;auto;4;10;200;0.7570783589371298;0.074320334601328;0.8588180351757801;0.005333235869456274
1672;False;balanced;gini;10;sqrt;4;10;200;0.7570783589371298;0.074320334601328;0.8588180351757801;0.005333235869456274
1772;False;balanced;entropy;;log2;2;10;300;0.7569915591239348;0.06436077578211986;0.9478137593182309;0.001934286306672704
1497;False;balanced;gini;;sqrt;2;5;100;0.7569259113980664;0.06227147272933571;0.9729437762111269;0.0024491784454849556
1470;False;balanced;gini;;auto;2;5;100;0.7569259113980664;0.06227147272933571;0.9729437762111269;0.0024491784454849556
1776;False;balanced;entropy;;log2;4;5;100;0.7569164625226964;0.07005153236461734;0.9186159404041042;0.0036527384681995525
1773;False;balanced;entropy;;log2;4;2;100;0.7569164625226964;0.07005153236461734;0.9186159404041042;0.0036527384681995525
1534;False;balanced;gini;;log2;4;5;200;0.7567601623499686;0.06999803953915819;0.917162395771076;0.003190190873389334
1531;False;balanced;gini;;log2;4;2;200;0.7567601623499686;0.06999803953915819;0.917162395771076;0.003190190873389334
1495;False;balanced;gini;;sqrt;2;2;200;0.7567407605845144;0.05841972078161428;0.978312153349029;0.0018539950844895707
