;param_criterion;param_max_depth;param_max_features;param_n_estimators;mean_test_score;std_test_score;mean_train_score;std_train_score
21;entropy;20;5;150;0.8064254285581607;0.048786852049278316;0.9975295274291671;0.0005173601672033149
19;entropy;10;7;150;0.805768576934814;0.052356156037255325;0.9007962428804683;0.003356774573558831
8;gini;10;9;150;0.8053971750653451;0.05272027475947111;0.9177093099129383;0.002853834048173152
0;gini;;5;150;0.8037220002587271;0.04884702587481326;0.9994829565699355;0.0001723480626364945
6;gini;10;5;150;0.8036530685693057;0.053833828326926715;0.8996191333370696;0.004098983456919234
20;entropy;10;9;150;0.803114779451764;0.0549137904337457;0.9077821419445197;0.0029448542408557796
11;gini;20;9;150;0.8020576679403998;0.04987707423445632;0.9993680140412;0.0004023272416698965
9;gini;20;5;150;0.8020563204036144;0.048310577234332464;0.9979316283304961;0.0005863149175749566
10;gini;20;7;150;0.8012104197349043;0.051881057308997974;0.9991381949668107;0.00038552921008314073
13;entropy;;7;150;0.800576289654898;0.04816532216385091;0.9994829565699355;0.0001723480626364945
1;gini;;7;150;0.8005172468123499;0.049123147972981715;0.9994829565699355;0.0001723480626364945
22;entropy;20;7;150;0.8003678360798206;0.050392091445362455;0.9986786228011137;0.0005773891575932655
12;entropy;;5;150;0.80001324732317;0.04838769752626351;0.9994829565699355;0.0001723480626364945
14;entropy;;9;150;0.7997430765633085;0.04493165502761725;0.9994829565699355;0.0001723480626364945
7;gini;10;7;150;0.7989521553954544;0.05623821453715574;0.9123282810601647;0.004063112747915111
18;entropy;10;5;150;0.7989521553954544;0.05342850711727217;0.8942301072062268;0.00402452392292981
23;entropy;20;9;150;0.7985888387466996;0.04725494411962575;0.9987934993467675;0.000542085313778955
2;gini;;9;150;0.7976912341280898;0.04855762538728222;0.9994829565699355;0.0001723480626364945
5;gini;3;9;150;0.767824864168292;0.06784448421104161;0.7904097201391849;0.005871606199428236
4;gini;3;7;150;0.7657020169101355;0.06486275045462354;0.7879899683264068;0.005180000487962526
17;entropy;3;9;150;0.7646657196592763;0.0657798868266522;0.790314520039919;0.004774628130301235
3;gini;3;5;150;0.7639249890538551;0.06893179054606537;0.7832755773048363;0.0038688412325786
15;entropy;3;5;150;0.7625367773885815;0.0721267438191435;0.7824509953247988;0.004850730489103301
16;entropy;3;7;150;0.7597651429964575;0.06782364885280479;0.7875553412190829;0.0046776588246926236
