;param_alpha;param_class_weight;param_eta0;param_fit_intercept;param_l1_ratio;param_learning_rate;param_loss;param_max_iter;param_penalty;param_tol;mean_test_score;std_test_score;mean_train_score;std_train_score
3183;0.0001;balanced;0.1;False;0.5;optimal;log;1000;l1;0.001;0.7229636582448061;0.047515832116351124;0.7329919527735321;0.017767681146723897
3723;0.0001;balanced;1.0;False;0.3;optimal;log;1000;l1;0.001;0.7229636582448061;0.047515832116351124;0.7329919527735321;0.017767681146723897
2535;0.0001;balanced;0.01;False;0.5;optimal;log;1000;l1;0.001;0.7229636582448061;0.047515832116351124;0.7329919527735321;0.017767681146723897
2534;0.0001;balanced;0.01;False;0.5;optimal;log;1000;l1;0.0001;0.7229636582448061;0.047515832116351124;0.7329919527735321;0.017767681146723897
2433;0.0001;balanced;0.01;False;0.3;optimal;log;2000;l1;0.001;0.7229636582448061;0.047515832116351124;0.7329919527735321;0.017767681146723897
3836;0.0001;balanced;1.0;False;0.5;optimal;log;2000;l1;0.0001;0.7229636582448061;0.047515832116351124;0.7329919527735321;0.017767681146723897
3831;0.0001;balanced;1.0;False;0.5;optimal;log;1000;l1;0.001;0.7229636582448061;0.047515832116351124;0.7329919527735321;0.017767681146723897
3830;0.0001;balanced;1.0;False;0.5;optimal;log;1000;l1;0.0001;0.7229636582448061;0.047515832116351124;0.7329919527735321;0.017767681146723897
3729;0.0001;balanced;1.0;False;0.3;optimal;log;2000;l1;0.001;0.7229636582448061;0.047515832116351124;0.7329919527735321;0.017767681146723897
2432;0.0001;balanced;0.01;False;0.3;optimal;log;2000;l1;0.0001;0.7229636582448061;0.047515832116351124;0.7329919527735321;0.017767681146723897
2427;0.0001;balanced;0.01;False;0.3;optimal;log;1000;l1;0.001;0.7229636582448061;0.047515832116351124;0.7329919527735321;0.017767681146723897
3728;0.0001;balanced;1.0;False;0.3;optimal;log;2000;l1;0.0001;0.7229636582448061;0.047515832116351124;0.7329919527735321;0.017767681146723897
2426;0.0001;balanced;0.01;False;0.3;optimal;log;1000;l1;0.0001;0.7229636582448061;0.047515832116351124;0.7329919527735321;0.017767681146723897
2541;0.0001;balanced;0.01;False;0.5;optimal;log;2000;l1;0.001;0.7229636582448061;0.047515832116351124;0.7329919527735321;0.017767681146723897
2325;0.0001;balanced;0.01;False;0.15;optimal;log;2000;l1;0.001;0.7229636582448061;0.047515832116351124;0.7329919527735321;0.017767681146723897
3722;0.0001;balanced;1.0;False;0.3;optimal;log;1000;l1;0.0001;0.7229636582448061;0.047515832116351124;0.7329919527735321;0.017767681146723897
3621;0.0001;balanced;1.0;False;0.15;optimal;log;2000;l1;0.001;0.7229636582448061;0.047515832116351124;0.7329919527735321;0.017767681146723897
3620;0.0001;balanced;1.0;False;0.15;optimal;log;2000;l1;0.0001;0.7229636582448061;0.047515832116351124;0.7329919527735321;0.017767681146723897
3615;0.0001;balanced;1.0;False;0.15;optimal;log;1000;l1;0.001;0.7229636582448061;0.047515832116351124;0.7329919527735321;0.017767681146723897
3614;0.0001;balanced;1.0;False;0.15;optimal;log;1000;l1;0.0001;0.7229636582448061;0.047515832116351124;0.7329919527735321;0.017767681146723897
2324;0.0001;balanced;0.01;False;0.15;optimal;log;2000;l1;0.0001;0.7229636582448061;0.047515832116351124;0.7329919527735321;0.017767681146723897
2319;0.0001;balanced;0.01;False;0.15;optimal;log;1000;l1;0.001;0.7229636582448061;0.047515832116351124;0.7329919527735321;0.017767681146723897
2318;0.0001;balanced;0.01;False;0.15;optimal;log;1000;l1;0.0001;0.7229636582448061;0.047515832116351124;0.7329919527735321;0.017767681146723897
3188;0.0001;balanced;0.1;False;0.5;optimal;log;2000;l1;0.0001;0.7229636582448061;0.047515832116351124;0.7329919527735321;0.017767681146723897
2540;0.0001;balanced;0.01;False;0.5;optimal;log;2000;l1;0.0001;0.7229636582448061;0.047515832116351124;0.7329919527735321;0.017767681146723897
3837;0.0001;balanced;1.0;False;0.5;optimal;log;2000;l1;0.001;0.7229636582448061;0.047515832116351124;0.7329919527735321;0.017767681146723897
3074;0.0001;balanced;0.1;False;0.3;optimal;log;1000;l1;0.0001;0.7229636582448061;0.047515832116351124;0.7329919527735321;0.017767681146723897
3189;0.0001;balanced;0.1;False;0.5;optimal;log;2000;l1;0.001;0.7229636582448061;0.047515832116351124;0.7329919527735321;0.017767681146723897
3080;0.0001;balanced;0.1;False;0.3;optimal;log;2000;l1;0.0001;0.7229636582448061;0.047515832116351124;0.7329919527735321;0.017767681146723897
3081;0.0001;balanced;0.1;False;0.3;optimal;log;2000;l1;0.001;0.7229636582448061;0.047515832116351124;0.7329919527735321;0.017767681146723897
2973;0.0001;balanced;0.1;False;0.15;optimal;log;2000;l1;0.001;0.7229636582448061;0.047515832116351124;0.7329919527735321;0.017767681146723897
2972;0.0001;balanced;0.1;False;0.15;optimal;log;2000;l1;0.0001;0.7229636582448061;0.047515832116351124;0.7329919527735321;0.017767681146723897
3182;0.0001;balanced;0.1;False;0.5;optimal;log;1000;l1;0.0001;0.7229636582448061;0.047515832116351124;0.7329919527735321;0.017767681146723897
2967;0.0001;balanced;0.1;False;0.15;optimal;log;1000;l1;0.001;0.7229636582448061;0.047515832116351124;0.7329919527735321;0.017767681146723897
2966;0.0001;balanced;0.1;False;0.15;optimal;log;1000;l1;0.0001;0.7229636582448061;0.047515832116351124;0.7329919527735321;0.017767681146723897
3075;0.0001;balanced;0.1;False;0.3;optimal;log;1000;l1;0.001;0.7229636582448061;0.047515832116351124;0.7329919527735321;0.017767681146723897
3278;0.0001;balanced;1.0;True;0.15;optimal;hinge;1000;l1;0.0001;0.7155062854434315;0.04329566169032309;0.7347233770609843;0.02379306529484621
2630;0.0001;balanced;0.1;True;0.15;optimal;hinge;1000;l1;0.0001;0.7155062854434315;0.04329566169032309;0.7347233770609843;0.02379306529484621
3387;0.0001;balanced;1.0;True;0.3;optimal;hinge;1000;l1;0.001;0.7155062854434315;0.04329566169032309;0.7347233770609843;0.02379306529484621
2205;0.0001;balanced;0.01;True;0.5;optimal;hinge;2000;l1;0.001;0.7155062854434315;0.04329566169032309;0.7347233770609843;0.02379306529484621
2204;0.0001;balanced;0.01;True;0.5;optimal;hinge;2000;l1;0.0001;0.7155062854434315;0.04329566169032309;0.7347233770609843;0.02379306529484621
2198;0.0001;balanced;0.01;True;0.5;optimal;hinge;1000;l1;0.0001;0.7155062854434315;0.04329566169032309;0.7347233770609843;0.02379306529484621
3392;0.0001;balanced;1.0;True;0.3;optimal;hinge;2000;l1;0.0001;0.7155062854434315;0.04329566169032309;0.7347233770609843;0.02379306529484621
3393;0.0001;balanced;1.0;True;0.3;optimal;hinge;2000;l1;0.001;0.7155062854434315;0.04329566169032309;0.7347233770609843;0.02379306529484621
2097;0.0001;balanced;0.01;True;0.3;optimal;hinge;2000;l1;0.001;0.7155062854434315;0.04329566169032309;0.7347233770609843;0.02379306529484621
3386;0.0001;balanced;1.0;True;0.3;optimal;hinge;1000;l1;0.0001;0.7155062854434315;0.04329566169032309;0.7347233770609843;0.02379306529484621
3284;0.0001;balanced;1.0;True;0.15;optimal;hinge;2000;l1;0.0001;0.7155062854434315;0.04329566169032309;0.7347233770609843;0.02379306529484621
3279;0.0001;balanced;1.0;True;0.15;optimal;hinge;1000;l1;0.001;0.7155062854434315;0.04329566169032309;0.7347233770609843;0.02379306529484621
2631;0.0001;balanced;0.1;True;0.15;optimal;hinge;1000;l1;0.001;0.7155062854434315;0.04329566169032309;0.7347233770609843;0.02379306529484621
3285;0.0001;balanced;1.0;True;0.15;optimal;hinge;2000;l1;0.001;0.7155062854434315;0.04329566169032309;0.7347233770609843;0.02379306529484621
2852;0.0001;balanced;0.1;True;0.5;optimal;hinge;2000;l1;0.0001;0.7155062854434315;0.04329566169032309;0.7347233770609843;0.02379306529484621
2847;0.0001;balanced;0.1;True;0.5;optimal;hinge;1000;l1;0.001;0.7155062854434315;0.04329566169032309;0.7347233770609843;0.02379306529484621
