;param_alpha;param_loss;param_max_iter;param_penalty;param_random_state;mean_test_score;std_test_score;mean_train_score;std_train_score
48;0.001;modified_huber;500;l1;42;0.6997300747490411;0.07069169235856178;0.7100523395794299;0.024896209914784126
51;0.001;modified_huber;1000;l1;42;0.6997300747490411;0.07069169235856178;0.7100523395794299;0.024896209914784126
45;0.001;modified_huber;100;l1;42;0.6997300747490411;0.07069169235856178;0.7100523395794299;0.024896209914784126
42;0.001;log;1000;l1;42;0.6948785693930466;0.06152234077218544;0.7222353362769396;0.01744867496273107
39;0.001;log;500;l1;42;0.6948785693930466;0.06152234077218544;0.7222353362769396;0.01744867496273107
36;0.001;log;100;l1;42;0.6948785693930466;0.06152234077218544;0.7222353362769396;0.01744867496273107
33;0.001;hinge;1000;l1;42;0.6894661290929353;0.047934424900124756;0.7140387770887181;0.016245561051410267
30;0.001;hinge;500;l1;42;0.6894661290929353;0.047934424900124756;0.7140387770887181;0.016245561051410267
27;0.001;hinge;100;l1;42;0.6894661290929353;0.047934424900124756;0.7140387770887181;0.016245561051410267
18;0.0001;modified_huber;100;l1;42;0.6874043836374969;0.0675446213864913;0.7091620528115137;0.037233589144355074
21;0.0001;modified_huber;500;l1;42;0.6872580555147723;0.060565494135605594;0.7191024801985677;0.03294053462830819
24;0.0001;modified_huber;1000;l1;42;0.6872580555147723;0.060565494135605594;0.7191024801985677;0.03294053462830819
78;0.01;modified_huber;1000;l1;42;0.6729121406794969;0.05041509432867841;0.6988616535407894;0.03679770830489134
75;0.01;modified_huber;500;l1;42;0.6729121406794969;0.05041509432867841;0.6988616535407894;0.03679770830489134
72;0.01;modified_huber;100;l1;42;0.6729121406794969;0.05041509432867841;0.6988616535407894;0.03679770830489134
76;0.01;modified_huber;500;l2;42;0.6715783987982228;0.06934643780924087;0.6790813865662018;0.049722366820650954
79;0.01;modified_huber;1000;l2;42;0.6715783987982228;0.06934643780924087;0.6790813865662018;0.049722366820650954
14;0.0001;log;500;elasticnet;42;0.6682890578624485;0.047786414161999205;0.6849561759072746;0.050084040789524595
17;0.0001;log;1000;elasticnet;42;0.6682890578624485;0.047786414161999205;0.6849561759072746;0.050084040789524595
53;0.001;modified_huber;1000;elasticnet;42;0.6625154838988319;0.056466239008626774;0.6806567208343289;0.03907901956468717
50;0.001;modified_huber;500;elasticnet;42;0.6625154838988319;0.056466239008626774;0.6806567208343289;0.03907901956468717
44;0.001;log;1000;elasticnet;42;0.661170454688943;0.060727698746577935;0.6944036105403238;0.032363406834828544
38;0.001;log;100;elasticnet;42;0.661170454688943;0.060727698746577935;0.6944036105403238;0.032363406834828544
41;0.001;log;500;elasticnet;42;0.661170454688943;0.060727698746577935;0.6944036105403238;0.032363406834828544
103;0.1;modified_huber;500;l2;42;0.6576188734051909;0.04941617456164941;0.6904101983012991;0.025123886673201277
100;0.1;modified_huber;100;l2;42;0.6576188734051909;0.04941617456164941;0.6904101983012991;0.025123886673201277
106;0.1;modified_huber;1000;l2;42;0.6576188734051909;0.04941617456164941;0.6904101983012991;0.025123886673201277
43;0.001;log;1000;l2;42;0.6572551115641418;0.0594207310143127;0.6802045184601274;0.01773553780052694
40;0.001;log;500;l2;42;0.6572551115641418;0.0594207310143127;0.6802045184601274;0.01773553780052694
47;0.001;modified_huber;100;elasticnet;42;0.6569332679496435;0.05636354962415592;0.6816782038558119;0.03869551740184973
7;0.0001;hinge;1000;l2;42;0.6560621692270693;0.037179653895794466;0.6851733657566318;0.046248691851233016
4;0.0001;hinge;500;l2;42;0.6560621692270693;0.037179653895794466;0.6851733657566318;0.046248691851233016
66;0.01;log;500;l1;42;0.6558296802177158;0.06156398661838232;0.6892143411400425;0.046523868412396474
69;0.01;log;1000;l1;42;0.6558296802177158;0.06156398661838232;0.6892143411400425;0.046523868412396474
0;0.0001;hinge;100;l1;42;0.6549745529992437;0.05251143851641694;0.6780846804540838;0.044463287183187976
37;0.001;log;100;l2;42;0.6544914198805719;0.0558745497102094;0.6816403379562409;0.016356111417375807
63;0.01;log;100;l1;42;0.6536627371552504;0.059327328097590885;0.6860409544478111;0.04489193677847629
88;0.1;hinge;1000;l2;42;0.6535343447531708;0.07463597177943618;0.6759309478628635;0.025997262826877924
85;0.1;hinge;500;l2;42;0.6535343447531708;0.07463597177943618;0.6759309478628635;0.025997262826877924
82;0.1;hinge;100;l2;42;0.6535343447531708;0.07463597177943618;0.6759309478628635;0.025997262826877924
6;0.0001;hinge;1000;l1;42;0.6525908320690111;0.053782824041834085;0.6829071179036399;0.04671121427614096
3;0.0001;hinge;500;l1;42;0.6525908320690111;0.053782824041834085;0.6829071179036399;0.04671121427614096
