;param_C;param_gamma;param_kernel;mean_test_score;std_test_score;mean_train_score;std_train_score
45;100;0.001;rbf;0.7185847187485483;0.050254104473845596;0.9121019782310718;0.005497617654828832
33;10;0.001;rbf;0.6923308357542293;0.0829148618953385;0.8414851639361842;0.006041185121545021
21;1;0.001;rbf;0.6829241326611069;0.06896989905264853;0.7718524382586576;0.007796178938251102
30;10;0.01;rbf;0.6719780475395112;0.041725211315096045;0.9610896323690243;0.0031726525164826884
42;100;0.01;rbf;0.6712249504354164;0.037696424854932346;0.9929094453445364;0.0011715365818253565
18;1;0.01;rbf;0.6451814368155195;0.048619969469070275;0.8820320099495673;0.00802015503360087
9;0.1;0.001;rbf;0.6285973164496331;0.05113429870030849;0.6672848940562106;0.011173766174945223
27;10;0.1;rbf;0.613726101053305;0.04952782470133216;0.9988647583946983;0.00028210212750384657
39;100;0.1;rbf;0.6113194664923562;0.049912783844408205;0.998953499677828;0.000369173621523907
15;1;0.1;rbf;0.6013746161724849;0.045390390125951426;0.9695832301230253;0.0034311948708074993
10;0.1;0.001;poly;0.5983242984733219;0.07832658072890841;0.6057119212603491;0.07487488469467483
34;10;0.001;poly;0.5833962976921329;0.07248778880014237;0.56356728338764;0.08088068114488818
22;1;0.001;poly;0.5803792561135455;0.0931205266558473;0.5829920555082372;0.07485853352148215
46;100;0.001;poly;0.5799178309737499;0.09670263342610069;0.5886528133429672;0.0639543587038593
28;10;0.1;poly;0.5739979246773266;0.08976473798271314;0.5620677370482037;0.08855070185666242
6;0.1;0.01;rbf;0.5680502706251376;0.03710466496688176;0.6138944985277307;0.01068979211255498
19;1;0.01;poly;0.5651467835847626;0.057224899692445735;0.5677832498004804;0.053578004089218305
4;0.1;0.1;poly;0.5610483617961026;0.07727838497114381;0.5672003385259912;0.07979011233316817
24;10;1;rbf;0.5318343095912982;0.015334629877161738;0.9996733921773666;0.0001323305940086952
36;100;1;rbf;0.5318343095912982;0.015334629877161738;0.9996733921773666;0.0001323305940086952
43;100;0.01;poly;0.5314115099991124;0.040634632725410326;0.5709446286500561;0.06719347834251761
16;1;0.1;poly;0.52433495655924;0.06418000654776339;0.5310907283950628;0.06473838932946653
12;1;1;rbf;0.5215663218482463;0.014660888388662073;0.998953499677828;0.000369173621523907
31;10;0.01;poly;0.5196189405425968;0.08381822433297481;0.5146269356561637;0.06240168709968776
7;0.1;0.01;poly;0.5141275514317153;0.052086809286036866;0.531605830768564;0.06435650551680763
35;10;0.001;sigmoid;0.5127985680698238;0.05197186932354111;0.5148447845338142;0.032060893403512015
47;100;0.001;sigmoid;0.5120293373005931;0.05093944951913357;0.5143272698677849;0.03227708415569573
20;1;0.01;sigmoid;0.5110014892179976;0.0289595300507232;0.53335281508054;0.01752084437145542
23;1;0.001;sigmoid;0.5103254382112989;0.053844862585269694;0.5149902756776255;0.03225305969012618
8;0.1;0.01;sigmoid;0.5074797160243408;0.022439148073022296;0.511706061155975;0.03511818346792487
17;1;0.1;sigmoid;0.5070486815415821;0.02114604462474644;0.512016264404319;0.03604879321295707
32;10;0.01;sigmoid;0.5066888177790168;0.02759255496278593;0.5305933279591044;0.01656202214719677
37;100;1;poly;0.5066835601984397;0.048685807102742486;0.5092428439971841;0.049555817120228204
13;1;1;poly;0.5066835601984397;0.048685807102742486;0.5092428439971841;0.049555817120228204
25;10;1;poly;0.5066835601984397;0.048685807102742486;0.5092428439971841;0.049555817120228204
44;100;0.01;sigmoid;0.5056133646223628;0.025545561686282584;0.5301464175738773;0.016209099297256085
29;10;0.1;sigmoid;0.5039553752535497;0.011866125760649094;0.5088053110728004;0.026415933218401244
3;0.1;0.1;rbf;0.5026806812468577;0.0045679478213122;0.5088849428117648;0.0031694495053496015
2;0.1;1;sigmoid;0.5;0.0;0.5;0.0
5;0.1;0.1;sigmoid;0.5;0.0;0.5;0.0
26;10;1;sigmoid;0.5;0.0;0.5;0.0
38;100;1;sigmoid;0.5;0.0;0.5;0.0
14;1;1;sigmoid;0.5;0.0;0.5;0.0
0;0.1;1;rbf;0.5;0.0;0.5;0.0
40;100;0.1;poly;0.4965714787506882;0.04615834355505931;0.49226767850094777;0.04639437496128491
41;100;0.1;sigmoid;0.4893938421283262;0.03022452519579941;0.5093320371465406;0.024707973567835256
11;0.1;0.001;sigmoid;0.4861919589622046;0.0413576571799524;0.4879088782466628;0.0352356533971054
1;0.1;1;poly;0.4575268053832621;0.09086549958084733;0.48200384877564817;0.05304602330269466
