;param_C;param_class_weight;param_coef0;param_degree;param_gamma;param_kernel;param_probability;param_shrinking;param_tol;mean_test_score;std_test_score;mean_train_score;std_train_score
3343;10;balanced;1.0;3;scale;poly;False;False;0.0001;0.7353102218224437;0.06190616981263775;0.7965804645613336;0.004318588918594492
3342;10;balanced;1.0;3;scale;poly;False;False;0.001;0.7353102218224437;0.06190616981263775;0.7965804645613336;0.004318588918594492
3338;10;balanced;1.0;3;scale;poly;True;False;0.001;0.7353102218224437;0.06190616981263775;0.7965804645613336;0.004318588918594492
3339;10;balanced;1.0;3;scale;poly;True;False;0.0001;0.7353102218224437;0.06190616981263775;0.7965804645613336;0.004318588918594492
3337;10;balanced;1.0;3;scale;poly;True;True;0.0001;0.7322079534207819;0.06373743173442259;0.7934003538189336;0.004384434665619607
3336;10;balanced;1.0;3;scale;poly;True;True;0.001;0.7322079534207819;0.06373743173442259;0.7934003538189336;0.004384434665619607
3341;10;balanced;1.0;3;scale;poly;False;True;0.0001;0.7322079534207819;0.06373743173442259;0.7934003538189336;0.004384434665619607
3340;10;balanced;1.0;3;scale;poly;False;True;0.001;0.7322079534207819;0.06373743173442259;0.7934003538189336;0.004384434665619607
3090;10;balanced;0.5;2;scale;rbf;True;False;0.001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
2965;10;balanced;0.0;3;scale;rbf;False;True;0.0001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
3216;10;balanced;0.5;4;scale;rbf;True;True;0.001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
3349;10;balanced;1.0;3;scale;rbf;False;True;0.0001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
3348;10;balanced;1.0;3;scale;rbf;False;True;0.001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
2966;10;balanced;0.0;3;scale;rbf;False;False;0.001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
2964;10;balanced;0.0;3;scale;rbf;False;True;0.001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
3347;10;balanced;1.0;3;scale;rbf;True;False;0.0001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
3346;10;balanced;1.0;3;scale;rbf;True;False;0.001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
3218;10;balanced;0.5;4;scale;rbf;True;False;0.001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
2963;10;balanced;0.0;3;scale;rbf;True;False;0.0001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
3345;10;balanced;1.0;3;scale;rbf;True;True;0.0001;0.7317430782953694;0.054087328203880486;0.7861783526738252;0.004235327931453464
