;param_criterion;param_max_depth;param_min_samples_leaf;param_min_samples_split;mean_test_score;std_test_score;mean_train_score;std_train_score
55;entropy;10;1;5;0.7606199213180149;0.03981893276874013;0.8589389503453528;0.00877233152068835
54;entropy;10;1;2;0.7552778965879412;0.04503123398139884;0.86294317624167;0.008477158010898895
18;gini;10;1;2;0.7521009892062549;0.058202213388074894;0.8736457585157258;0.007951882244053538
19;gini;10;1;5;0.7509624934229076;0.05407608272320294;0.8686089043326447;0.008339791602211943
56;entropy;10;1;10;0.7476287925486405;0.05157720492738297;0.8493092308321419;0.007948124516458595
58;entropy;10;3;5;0.7475155838164808;0.0478686916859116;0.8510999206973576;0.0063255926228400206
57;entropy;10;3;2;0.7475155838164808;0.0478686916859116;0.8510999206973576;0.0063255926228400206
62;entropy;10;5;10;0.7455142468389098;0.053839625894429054;0.839778601074625;0.007861311526551645
61;entropy;10;5;5;0.7455142468389098;0.053839625894429054;0.839778601074625;0.007861311526551645
60;entropy;10;5;2;0.7455142468389098;0.053839625894429054;0.839778601074625;0.007861311526551645
63;entropy;20;1;2;0.7444605346201418;0.028544173846137964;0.9872631699344305;0.006615887690747483
59;entropy;10;3;10;0.7434158396422614;0.05465621377941354;0.8442954731236381;0.005896562152565884
36;entropy;;1;2;0.7416513377818112;0.03236566261404599;0.999699827148841;0.00010056884886122964
65;entropy;20;1;10;0.7416407914614318;0.0340882143902774;0.9263201009803443;0.007867163400347677
37;entropy;;1;5;0.741011983809029;0.027996428882894005;0.9742239187056351;0.002144248101234181
20;gini;10;1;10;0.7407683542991566;0.058729211997067064;0.8569438157843848;0.007701539201668773
44;entropy;;5;10;0.7396165523202713;0.05085452882717288;0.8949494771417811;0.006378838506254899
43;entropy;;5;5;0.7396165523202713;0.05085452882717288;0.8949494771417811;0.006378838506254899
42;entropy;;5;2;0.7396165523202713;0.05085452882717288;0.8949494771417811;0.006378838506254899
69;entropy;20;5;2;0.7383654828827264;0.05175893712862781;0.8949262181013774;0.006635571561656646
70;entropy;20;5;5;0.7383654828827264;0.05175893712862781;0.8949262181013774;0.006635571561656646
71;entropy;20;5;10;0.7383654828827264;0.05175893712862781;0.8949262181013774;0.006635571561656646
28;gini;20;1;5;0.7381936816443392;0.045648962047953434;0.9646144936857375;0.0029840509773062258
64;entropy;20;1;5;0.7378039884788139;0.03103754987642292;0.9648000264747292;0.005022961073428712
38;entropy;;1;10;0.7371919703797511;0.032618953330982144;0.9320082399268672;0.00528780491773393
23;gini;10;3;10;0.7344375595624054;0.05351254479042136;0.8500416016911799;0.008273171150538926
22;gini;10;3;5;0.7332147024440472;0.05756432476433929;0.8591765069781317;0.008732450825073089
21;gini;10;3;2;0.7332147024440472;0.05756432476433929;0.8591765069781317;0.008732450825073089
27;gini;20;1;2;0.7329848144217717;0.058625637144933816;0.9949809675669347;0.003005885708753441
1;gini;;1;5;0.7327879517267062;0.051675171083867974;0.9681716086000085;0.0018699691985153597
