;group;user;task_id;funnel
0;cb71040b5bd1341a34afc24961536ebd;098f6bcd4621d373cade4e832627b4f6;Sandbox;{'started': 1, 'create_shape': 0, 'submitted': 0, 'completed': 0}
1;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;1. One Box;{'started': 3, 'create_shape': 1, 'submitted': 1, 'completed': 1}
2;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;2. Separated Boxes;{'started': 1, 'create_shape': 2, 'submitted': 2, 'completed': 1}
3;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;3. Rotate a Pyramid;{'started': 2, 'create_shape': 2, 'submitted': 4, 'completed': 1}
4;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;4. Match Silhouettes;{'started': 3, 'create_shape': 10, 'submitted': 2, 'completed': 1}
5;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Sugar Cones;{'started': 2, 'create_shape': 10, 'submitted': 2, 'completed': 1}
6;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Bear Market;{'started': 2, 'create_shape': 76, 'submitted': 0, 'completed': 0}
7;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;9. Scaling Round Objects;{'started': 2, 'create_shape': 3, 'submitted': 2, 'completed': 1}
8;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;8. Combine 2 Ramps;{'started': 1, 'create_shape': 2, 'submitted': 1, 'completed': 1}
9;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Square Cross-Sections;{'started': 1, 'create_shape': 9, 'submitted': 3, 'completed': 1}
10;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Bird Fez;{'started': 2, 'create_shape': 8, 'submitted': 1, 'completed': 1}
11;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Pi Henge;{'started': 1, 'create_shape': 6, 'submitted': 1, 'completed': 1}
12;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;45-Degree Rotations;{'started': 1, 'create_shape': 6, 'submitted': 1, 'completed': 1}
13;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Pyramids are Strange;{'started': 2, 'create_shape': 8, 'submitted': 3, 'completed': 2}
14;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Boxes Obscure Spheres;{'started': 4, 'create_shape': 30, 'submitted': 5, 'completed': 1}
15;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Object Limits;{'started': 2, 'create_shape': 4, 'submitted': 3, 'completed': 2}
16;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Tetromino;{'started': 1, 'create_shape': 4, 'submitted': 1, 'completed': 1}
17;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Angled Silhouette;{'started': 1, 'create_shape': 4, 'submitted': 1, 'completed': 1}
18;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Stranger Shapes;{'started': 1, 'create_shape': 2, 'submitted': 1, 'completed': 1}
19;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Tall and Small;{'started': 1, 'create_shape': 3, 'submitted': 6, 'completed': 1}
20;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Ramp Up and Can It;{'started': 1, 'create_shape': 10, 'submitted': 2, 'completed': 0}
21;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;1. One Box;{'started': 13, 'create_shape': 2, 'submitted': 2, 'completed': 2}
22;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;2. Separated Boxes;{'started': 1, 'create_shape': 2, 'submitted': 1, 'completed': 1}
23;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;3. Rotate a Pyramid;{'started': 1, 'create_shape': 1, 'submitted': 1, 'completed': 1}
24;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;4. Match Silhouettes;{'started': 1, 'create_shape': 2, 'submitted': 1, 'completed': 1}
25;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;5. Removing Objects;{'started': 1, 'create_shape': 12, 'submitted': 3, 'completed': 1}
26;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;6. Stretch a Ramp;{'started': 1, 'create_shape': 4, 'submitted': 4, 'completed': 1}
27;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;7. Max 2 Boxes;{'started': 5, 'create_shape': 10, 'submitted': 2, 'completed': 1}
