;group_id;user;task_id;n_attempt;spatialDimension;percSpatialValue;PercentileSpatialAbove85;PercentileSpatialBelow15;engageDimension;percEngageValue;PercentileEngageAbove85;PercentileEngageBelow15;exploreDimension;percExploreValue;PercentileExploreAbove85;PercentileExploreBelow15;experimentDimension;percExperimentValue;PercentileExperimentAbove85;PercentileExperimentBelow15;reflexDimension;percReflexValue;PercentileReflexAbove85;PercentileReflexBelow15;errorRectDimension;percErrorRectValue;PercentileErrorRectAbove85;PercentileErrorRectBelow15;persistenceDimension;percPersistenceValue;PercentilePersistenceAbove85;PercentilePersistenceBelow15;completed
0;4fe25833f555e9903d2bb6bbeec3fbfb;12e1e72e84bf81d1bb70ceaaff147ee1;Square Cross-Sections;10;0.2725011307100859;52.89855072463768;False;False;409.55005299999993;78.26086956521739;False;False;13.0;59.96376811594203;False;False;0.26679068910316805;63.04347826086956;False;False;44.635019;65.94202898550725;False;False;5.0;89.1304347826087;True;False;295.5935312608695;79.34782608695652;False;False;False
7;4fe25833f555e9903d2bb6bbeec3fbfb;2085341eede3ffb7e2ffc72bbf0ae02b;Square Cross-Sections;10;0.14285714285714285;38.04347826086956;False;False;130.909455;37.68115942028985;False;False;13.0;59.96376811594203;False;False;0.20291151909210478;33.69565217391305;False;False;70.517624;83.69565217391305;False;False;0.0;21.73913043478261;False;False;100.05231214285715;39.130434782608695;False;False;True
9;4fe25833f555e9903d2bb6bbeec3fbfb;2b2396af4cbf91224f099e909c6068f7;Square Cross-Sections;11;0.8305263157894737;95.28985507246377;True;False;461.97469800000016;80.43478260869566;False;False;16.0;88.04347826086956;False;False;0.2669798885035152;63.768115942028984;False;False;35.822438000000005;52.53623188405797;False;False;3.0;77.89855072463769;False;False;324.1830313333335;81.52173913043478;False;False;False
11;4fe25833f555e9903d2bb6bbeec3fbfb;516f1d9200914db303f76bbefbeff1ad;Square Cross-Sections;10;0.4752436647173489;71.37681159420289;False;False;733.977151;93.47826086956522;True;False;15.0;80.07246376811594;False;False;0.23775551388485527;48.188405797101446;False;False;57.223288000000004;73.91304347826087;False;False;3.0;77.89855072463769;False;False;506.027151;93.1159420289855;True;False;False
19;4fe25833f555e9903d2bb6bbeec3fbfb;66e12afc561f043a0ff56910f2b166d0;Square Cross-Sections;18;0.0;15.579710144927537;False;False;607.7181469999998;90.21739130434783;True;False;14.0;71.01449275362319;False;False;0.19652588773188065;31.52173913043478;False;False;61.349121;76.08695652173913;False;False;0.0;21.73913043478261;False;False;388.8014803333332;86.59420289855072;True;False;True
20;4fe25833f555e9903d2bb6bbeec3fbfb;6f92f9126b33790d7fef01f949d8334b;Square Cross-Sections;1;0.0;15.579710144927537;False;False;3.0719849999999997;0.7246376811594203;False;False;1.0;0.5434782608695652;False;True;0.0;6.340579710144928;False;True;0.0;6.340579710144928;False;True;0.0;21.73913043478261;False;False;1.071985;1.0869565217391304;False;True;False
21;4fe25833f555e9903d2bb6bbeec3fbfb;9ebecebccf7f8b60313c913a80f70f47;Square Cross-Sections;12;0.0;15.579710144927537;False;False;3.8146240000000002;1.0869565217391304;False;False;2.0;1.8115942028985508;False;True;0.0;6.340579710144928;False;True;0.0;6.340579710144928;False;True;0.0;21.73913043478261;False;False;0.814624;0.7246376811594203;False;True;False
26;4fe25833f555e9903d2bb6bbeec3fbfb;a89dc0a90ec4abfdc92e621e3ca80748;Square Cross-Sections;10;0.7407407407407407;88.40579710144928;True;False;160.134365;42.391304347826086;False;False;12.0;49.094202898550726;False;False;0.19287262422181006;30.797101449275363;False;False;72.850837;84.78260869565217;False;False;0.0;21.73913043478261;False;False;103.259365;40.57971014492754;False;False;True
27;4fe25833f555e9903d2bb6bbeec3fbfb;a89dc0a90ec4abfdc92e621e3ca80748;Square Cross-Sections;12;0.8125;92.93478260869566;True;False;105.665381;31.52173913043478;False;False;11.0;38.768115942028984;False;False;0.2912851341135884;73.18840579710145;False;False;39.45431;58.69565217391305;False;False;0.0;21.73913043478261;False;False;72.915381;30.797101449275363;False;False;False
34;4fe25833f555e9903d2bb6bbeec3fbfb;afa648f0959b8ff1a10ddb9c643aa172;Square Cross-Sections;22;0.8536733454766241;95.65217391304348;True;False;367.419892;73.91304347826087;False;False;14.0;71.01449275362319;False;False;0.20172560841822662;32.608695652173914;False;False;42.795208;64.1304347826087;False;False;1.0;52.89855072463768;False;False;265.519892;73.91304347826087;False;False;True
