;task_id;order;avg_complete_time;TotalTime;percentil1;percentil2;percentil3
0;1. One Box;1.0;1.09;0.88;0.27;0.55;0.82
1;2. Separated Boxes;2.0;1.69;1.67;0.42;0.84;1.27
2;3. Rotate a Pyramid;3.0;1.62;1.59;0.4;0.81;1.22
3;4. Match Silhouettes;4.0;2.13;2.12;0.53;1.06;1.6
5;5. Removing Objects;5.0;2.89;2.85;0.72;1.44;2.17
6;6. Stretch a Ramp;6.0;2.43;2.39;0.61;1.22;1.82
7;7. Max 2 Boxes;7.0;1.63;1.53;0.41;0.82;1.22
8;8. Combine 2 Ramps;8.0;2.02;1.92;0.5;1.01;1.52
9;9. Scaling Round Objects;9.0;2.57;2.51;0.64;1.28;1.93
23;Square Cross-Sections;10.0;3.2;3.54;0.8;1.6;2.4
12;Bird Fez;11.0;3.63;3.87;0.91;1.82;2.72
20;Pi Henge;12.0;2.22;2.05;0.56;1.11;1.66
4;45-Degree Rotations;13.0;2.74;2.95;0.68;1.37;2.06
21;Pyramids are Strange;14.0;4.0;3.62;1.0;2.0;3.0
13;Boxes Obscure Spheres;15.0;4.97;4.46;1.24;2.48;3.73
18;Object Limits;16.0;2.71;2.79;0.68;1.36;2.03
27;Warm Up;17.0;0.93;1.55;0.23;0.46;0.7
10;Angled Silhouette;18.0;2.21;2.78;0.55;1.1;1.66
25;Sugar Cones;19.0;1.44;1.13;0.36;0.72;1.08
24;Stranger Shapes;20.0;4.31;4.24;1.08;2.15;3.23
26;Tall and Small;21.0;4.44;4.42;1.11;2.22;3.33
22;Ramp Up and Can It;22.0;2.7;2.66;0.68;1.35;2.03
16;More Than Meets Your Eye;23.0;4.66;4.22;1.16;2.33;3.5
17;Not Bird;24.0;3.92;4.07;0.98;1.96;2.94
28;Zzz;26.0;2.82;2.95;0.7;1.41;2.11
14;Bull Market;27.0;7.9;7.98;1.98;3.95;5.93
15;Few Clues;28.0;5.26;5.54;1.32;2.63;3.94
19;Orange Dance;29.0;14.06;10.43;3.52;7.03;10.54
11;Bear Market;30.0;20.76;24.9;5.19;10.38;15.57
29;Unnecessary;25.0;10.00;10.00;7.5;5.0;2.5
