;group;user;task_id;puzzle_difficulty;puzzle_category;n_attempts;completed;timestamp;active_time;percentileActiveTime;n_events;percentileEvents;n_check_solution;percentileAtt;percentileComposite;persistence;n_breaks;n_snapshot;n_rotate_view;n_manipulation_events;time_failed_submission_exit;avg_time_between_submissions
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~1. One Box;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;1. One Box;2,00E-06;Tutorial;1.0;1.0;2019-09-09 13:29:30.215461-04:00;33.92;40.89;12.0;49.07;1.0;100.0;44.98;NO_BEHAVIOR;1.0;0.0;0.0;1.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~2. Separated Boxes;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;2. Separated Boxes;0.111127;Tutorial;1.0;1.0;2019-09-09 13:30:02.612859-04:00;73.87;52.19;13.0;19.92;2.0;61.35;36.06;NO_BEHAVIOR;2.0;0.0;0.0;3.0;NA;29.89
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~3. Rotate a Pyramid;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;3. Rotate a Pyramid;0.083447;Tutorial;1.0;1.0;2019-09-09 13:31:08.542014-04:00;252.6;91.9;69.0;84.21;4.0;90.69;88.06;PRODUCTIVE_PERSISTANCE;3.0;0.0;0.0;38.0;NA;155.28
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~4. Match Silhouettes;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;4. Match Silhouettes;0.061887;Tutorial;3.0;1.0;2019-09-09 13:57:44.305751-04:00;403.92;90.0;163.0;91.25;2.0;78.75;90.62;PRODUCTIVE_PERSISTANCE;0.0;0.0;71.0;27.0;NA;29.19
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Sugar Cones;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Sugar Cones;0.085909;Advanced;2.0;1.0;2019-09-10 13:47:53.184424-04:00;391.97;99.11;157.0;98.21;2.0;89.29;98.66;PRODUCTIVE_PERSISTANCE;0.0;1.0;33.0;56.0;NA;103.09
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Bear Market;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Bear Market;1.0;Advanced;2.0;0.0;2019-09-09 13:48:19.011711-04:00;633.52;25.0;245.0;0.0;0.0;0.0;12.5;NO_BEHAVIOR;0.0;0.0;28.0;86.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~9. Scaling Round Objects;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;9. Scaling Round Objects;0.128647;Tutorial;2.0;1.0;2019-09-09 14:00:21.974185-04:00;558.33;98.3;205.0;94.32;2.0;68.18;96.31;PRODUCTIVE_PERSISTANCE;0.0;0.0;43.0;65.0;NA;174.56
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~8. Combine 2 Ramps;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;8. Combine 2 Ramps;0.068608;Tutorial;1.0;1.0;2019-09-09 13:58:57.800000-04:00;87.98;57.59;31.0;39.27;1.0;72.77;48.43;NO_BEHAVIOR;0.0;0.0;6.0;12.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Square Cross-Sections;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Square Cross-Sections;0.199714;Intermediate;1.0;1.0;2019-09-09 14:06:21.763356-04:00;413.73;83.44;163.0;80.13;3.0;68.21;81.79;PRODUCTIVE_PERSISTANCE;0.0;0.0;71.0;40.0;NA;214.48
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Bird Fez;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Bird Fez;0.156674;Intermediate;1.0;1.0;2019-09-09 14:15:59.833742-04:00;179.22;53.9;278.0;94.16;1.0;40.26;74.03;NO_BEHAVIOR;0.0;1.0;119.0;68.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Pi Henge;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Pi Henge;0.067346;Intermediate;1.0;1.0;2019-09-09 14:16:07.639984-04:00;12.48;0.65;72.0;73.38;1.0;64.29;37.01;NO_BEHAVIOR;0.0;0.0;0.0;26.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~45-Degree Rotations;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;45-Degree Rotations;0.096715;Intermediate;1.0;1.0;2019-09-09 14:16:20.090402-04:00;5.86;0.73;34.0;24.09;1.0;64.23;12.41;RAPID_SOLVER;0.0;0.0;0.0;15.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Pyramids are Strange;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Pyramids are Strange;0.1796;Intermediate;1.0;1.0;2019-09-09 14:16:26.966471-04:00;13.06;0.79;77.0;47.24;2.0;46.46;24.02;RAPID_SOLVER;0.0;0.0;2.0;39.0;NA;5.66
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Boxes Obscure Spheres;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Boxes Obscure Spheres;0.266198;Intermediate;3.0;1.0;2019-09-10 13:27:17.687579-04:00;909.47;93.2;314.0;91.26;5.0;64.08;92.23;PRODUCTIVE_PERSISTANCE;12.0;2.0;80.0;95.0;NA;330.6
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Object Limits;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Object Limits;0.257177;Intermediate;1.0;1.0;2019-09-10 13:40:42.438425-04:00;232.24;61.62;92.0;67.68;2.0;23.23;64.65;NO_BEHAVIOR;0.0;0.0;53.0;16.0;NA;111.21
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Tetromino;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Tetromino;0.226869;Advanced;1.0;1.0;2019-09-10 13:46:11.562683-04:00;31.17;20.0;13.0;20.0;1.0;100.0;20.0;RAPID_SOLVER;1.0;0.0;0.0;4.0;NA;NA
