;TotalTime;avg_complete_time;completed;group;group_user_id;puzzle;order
Sandbox;0.0;0.0;0.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~098f6bcd4621d373cade4e832627b4f6;Sandbox;
1. One Box;0.31;0.39;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c;1. One Box;1.0
2. Separated Boxes;1.01;1.23;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c;2. Separated Boxes;2.0
3. Rotate a Pyramid;4.12;4.19;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c;3. Rotate a Pyramid;3.0
4. Match Silhouettes;1.05;1.05;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c;4. Match Silhouettes;4.0
Sugar Cones;3.52;3.58;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c;Sugar Cones;19.0
Bear Market;0.0;0.0;0.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c;Bear Market;30.0
9. Scaling Round Objects;5.92;5.97;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c;9. Scaling Round Objects;9.0
8. Combine 2 Ramps;1.3;1.42;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c;8. Combine 2 Ramps;8.0
Square Cross-Sections;6.81;6.86;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c;Square Cross-Sections;10.0
Bird Fez;2.91;2.98;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c;Bird Fez;11.0
Pi Henge;0.2;0.21;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c;Pi Henge;12.0
45-Degree Rotations;0.09;0.1;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c;45-Degree Rotations;13.0
Pyramids are Strange;0.21;0.22;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c;Pyramids are Strange;14.0
Boxes Obscure Spheres;13.31;14.11;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c;Boxes Obscure Spheres;15.0
Object Limits;3.79;3.83;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c;Object Limits;16.0
Tetromino;0.52;1.46;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c;Tetromino;
Angled Silhouette;0.99;1.03;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c;Angled Silhouette;18.0
Stranger Shapes;1.89;1.94;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c;Stranger Shapes;20.0
Tall and Small;9.25;9.29;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c;Tall and Small;21.0
Ramp Up and Can It;0.0;0.0;0.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c;Ramp Up and Can It;22.0
1. One Box;0.37;0.41;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2;1. One Box;1.0
2. Separated Boxes;0.45;0.65;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2;2. Separated Boxes;2.0
3. Rotate a Pyramid;0.48;0.66;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2;3. Rotate a Pyramid;3.0
4. Match Silhouettes;0.61;0.71;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2;4. Match Silhouettes;4.0
5. Removing Objects;7.37;7.4;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2;5. Removing Objects;5.0
6. Stretch a Ramp;4.02;4.05;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2;6. Stretch a Ramp;6.0
7. Max 2 Boxes;4.94;5.05;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2;7. Max 2 Boxes;7.0
8. Combine 2 Ramps;1.38;1.43;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2;8. Combine 2 Ramps;8.0
9. Scaling Round Objects;3.11;3.15;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2;9. Scaling Round Objects;9.0
Square Cross-Sections;11.59;10.56;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2;Square Cross-Sections;10.0
Bear Market;0.0;0.0;0.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2;Bear Market;30.0
Bird Fez;2.37;2.49;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2;Bird Fez;11.0
